,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,10-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,11-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,12-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,14-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,15-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,16-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,18-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,19-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,20-Dec,Acquired,Acquisition type,Acquisition year
Gallant Leasing & Financial Services Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,-100,0,,,12.9,,,0,,0.07,0,-0.01,0,0,13,1,1,0,,0.08,0,0,0,0,13.1,0.5,0.5,0,,0.08,,-0.01,-0.78,-0.78,13.1,0.33,0.33,0,,0.07,,-0.01,-0.79,-0.79,13,0.25,0.25,0,,0.06,0,-0.01,0,0,12.7,0,0,0,,0.06,0,-0.01,0,0,12.7,0,0,0,No,,
Gallops Enterprise Ltd.,,0.92,,-0.01,-0.9,-0.9,26,0.11,3.08,0,,0.92,,-0.17,-1.37,-1.37,21.8,,,0,,0.75,,-0.03,-105.96,-105.96,6.8,1,67,0,,0.75,,-0.03,-105.96,-105.96,6.8,1,67,0,,,,,,,,,,,,0.66,,-0.06,,,6.2,0,58,0,,0.71,42.86,-0.01,4.55,4.55,25.9,39,74,0,,0.71,-633.33,-0.03,-29.46,-29.46,24.6,1.88,4.18,0,,0.79,69.11,-0.13,87.63,-36.08,19.7,1.75,10,0,,0.8,7.14,-0.02,0.72,0.72,19.7,1.33,13,0,,0.8,7.14,-0.02,0.72,0.72,19.7,1.33,13,0,No,,
Gammon & Billimoria Ltd.,2.4,0.99,5.73,0,25.84,0.5,613.8,0.58,0.58,50.81,,0.99,2.15,0,12.7,0.2,1000.6,0.34,0.34,73.46,,0.99,2.38,0,15.17,0.22,985.2,2.16,2.16,61.95,,0.99,2.18,0,9.17,0.15,973.8,1.1,1.1,55.77,,0.99,2.53,0,9.47,0.17,1005.4,1.03,1.03,52.29,,0.99,1.16,0,7.84,0.15,1098.6,0.41,0.41,52.67,,0.99,,0,,-4.71,1058.5,0.17,0.17,,,0.99,,0,,-0.01,1048.5,0,0,,,0.99,,0,,-0.06,1047.8,0,0,,,0.99,,0,,-0.02,1047.6,0,0,,,0.99,,0,,-0.02,1047.6,0,0,,No,,
Gammon Power Ltd.,,0,0,0,,,0.6,0,0,,,0.03,50,0.92,,,19.6,191,191,,,0.03,137.5,0,2200,2200,20.7,199,199,0,,0.81,52.94,-0.02,85.71,114.29,22.1,6.33,6.33,0,,0,-50,1,-50,-16.67,7163.4,0,0,0,,0,-42169.57,-1,-16.78,-13.58,7165.4,0,0,0.24,,0.01,-319806.25,-2.29,-158.78,-110.09,2177.1,0.01,0.01,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Apr-16
Gammon Projects Developers Ltd.,,0.06,,0,-61.02,-52.17,6.7,0.08,0.08,3.33,,0.85,,-0.03,-40,-2.67,6.6,0.05,0.05,30,,0.85,0,0,0,0,6.6,0.05,0.05,30,,0.81,,-0.11,,0,5.4,,,,,0.81,,0,,-4.82,3.2,,,,,0.58,100,0,,7.89,3.8,,,,,1,-180,-0.18,,6.15,2.8,0,0,,,0.93,-1900,-1.29,,-140.74,2.8,0.02,0.02,,,1,-400,0,,-16.67,2.3,0,0,,,1,0,0,,0,2.3,0,0,,,1,0,0,,0,2.3,0,0,,No,,
Gammon Realty Ltd.,,0.91,-494.37,-0.3,,-8.95,895,0.08,0.56,,,0.88,-420.44,0.49,,-6.51,902.9,0.03,0.38,,,0.82,-4046.15,-0.51,,-5.14,1214.8,0.02,0.47,,,0.81,,0.01,,-4.26,1240.8,0.02,0.45,,,0.78,,0,,-3.92,1238.3,0.02,0.44,,,0.55,,-0.01,,-15.63,1263,0,0.38,,,0.7,-1026.97,0.19,,-15.01,1197.1,0.47,25.59,,,0.72,-1675,0.03,,-2.06,1156.6,24.3,694.2,,,0.72,74.93,0.27,,31.17,1150.1,0.17,8.45,,,0.74,,0.02,,-0.03,1141.2,0.52,8.95,,,0.74,,0.02,,-0.03,1141.2,0.52,8.95,,No,,
Gammon Retail Infrastructure Pvt. Ltd.,,0,0,0,0,0,0.1,,,0,,,0,,0,0,,,,,,,0,,,,,,,,,,0,,,,,,,,,0,0,1,,0,0.2,0.5,0.5,,0.8,0,62.5,-0.08,62.5,55.56,1.2,2.75,2.75,0.13,,0,,-0.05,-46.15,-12,4.4,0.57,0.57,7.2,,0,,-0.02,-22.22,-2.44,4.4,0.62,0.62,9.25,,0.58,40,0.42,40,6.9,1.9,0.38,0.46,1.83,,0.76,,-0.06,-18.18,-6.06,1.7,0.08,0.17,2.2,,0.76,,-0.06,-18.18,-6.06,1.7,0.08,0.17,2.2,No,,
Gammon Road Infrastructure Ltd.,,0,0,0,0,0,0.5,,,0,,0.99,0,0,0,0,73.7,0.01,0.01,183.25,,0.29,-66.24,-1.11,,-25.21,9.4,0.15,0.15,,,0.24,75,0.12,,-4.49,9,0.18,0.18,,,0.18,-50,-0.02,,-1.71,14.8,21,21,,,0.43,-1550,-0.27,,-21.45,14.7,41.5,41.5,,,0.88,,-0.49,,-32.41,7.2,8,8,,,0.93,0,-0.01,,0,6.8,4,4,,,0.4,,0,,-1.5,6.7,40,40,,,0.4,,0,,-25.64,6.7,40,40,,,0.4,,0,,-25.64,6.7,40,40,,No,,
Gammon Transmission Ltd.,,0,,0,,,0.5,0.83,0.83,,75.1,0.17,2.5,0,165.22,78.26,42.5,0.77,0.98,0,34.4,0.23,2.33,0,28.57,28.57,37.7,0.83,0.97,0,,0.64,,0.03,-1400,-1400,20.1,0.05,0.38,,,0.7,25,0.09,,,18.2,0.18,0.56,,,0.38,41.67,0.26,,,15.3,0.62,0.86,,,0.44,80.23,-0.49,418.18,-103.03,6.8,1.94,1.94,0,,0.6,,0,-4.04,-4.04,8.2,0.97,0.97,0,,0.6,,-0.26,-10.99,0,8.2,1.5,1.5,0,,0.69,,-0.17,-2.35,-2.35,7.2,1.69,1.69,0,,0.69,,-0.17,-2.35,-2.35,7.2,1.69,1.69,0,No,,
Gandhali City Homes Lakhmpur Pvt. Ltd.,,0,0,0,0,0,5.4,0.02,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gandhar Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gandhidham Spinning & Mfg. Co. Ltd.,4.1,0.14,53.66,0.27,58.67,24.47,10.7,4.08,4.08,0.9,3.4,0.14,76.47,0.19,42.28,24.64,13.4,5.29,5.36,0.59,4.4,0.03,4.55,0.19,2.67,19.75,15.2,4.32,4.32,0.64,,0,0,-0.06,0,0,11.2,4.31,4.31,0.26,,0,-900,-0.06,-12.41,-9.38,10.9,3.67,3.67,0.4,,0,,-0.15,-25,-15.08,11.5,5.78,5.78,1,,0,,-0.15,-25,-15.08,11.5,5.78,5.78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gandhinagar Leasing & Finance Ltd.,,0.4,66.67,0.01,4.22,4.22,54.6,0.38,9.23,0,,0.27,,0.13,-0.57,-0.57,54.5,0.27,9.33,0,,0.27,,0.13,-0.57,-0.57,54.5,0.27,9.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganesh Bank Of Kurundwad Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganesh Finstock Pvt. Ltd.,,0.6,7.89,0.33,1.11,1.85,27.8,20.8,20.8,0,,0.6,7.89,0.33,1.11,1.85,27.8,20.8,20.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganesh Holdings Ltd.,,0.04,58.33,0.03,4.56,4.55,16.6,1.89,1.89,0.01,,0.02,25,0.1,2.52,2.51,16.8,31,31,0,,0.05,26.67,-0.5,2.45,2.45,17.5,12.25,34.25,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Oct-12
Ganesh Housing Corpn. Ltd.,1613.2,0.51,35.5,0.14,10.98,8.02,9214.7,1.85,5.29,0.5,1712.9,0.58,16.98,0.09,5.42,3.59,9610.4,0.96,2.92,0.48,1549.4,0.52,25.12,0.05,7.21,4.03,10318.4,1.31,1.37,0.49,1777.1,0.57,22.87,0.14,6.58,4.35,10916,0.91,1.02,0.46,1845.4,0.42,16.94,0.05,4.81,3.19,11053.1,0.92,1.03,0.42,1874,0.5,20.28,0.12,5.82,3.26,11339.7,0.82,3.02,0.41,1726.2,0.56,21.28,0.16,5.27,3.15,12285.1,0.51,2.56,0.48,2024.4,0.55,18.58,-0.03,5.19,2.89,13160.9,0.9,3.63,0.56,408.6,0.54,11.21,0.04,1.46,0.83,12722.6,1.05,3.53,0.49,-4.6,0.52,-1647.92,0.04,-8.62,-5.94,11509.2,0.63,2.41,0.46,21.4,0.46,-329.26,-0.01,-6.92,-4.89,9861.5,0.35,2.42,0.43,No,,
Ganesh Lea-Finvest Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganesh Real Financials Ltd.,0.2,0.71,21.74,0,4.84,-8.39,35.7,1.28,1.28,0,0.2,0.71,21.74,0,4.84,-8.39,35.7,1.28,1.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganex Commercial Co. Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganex Power Corpn. Ltd.,,0.1,35.14,0,3.49,3.49,39.2,5.5,5.5,0,,0.1,35.14,0,3.49,3.49,39.2,5.5,5.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganga Builders Ltd.,,0.06,0,0,0,0,101.8,50.8,86.9,0,,0.04,0,0,0,0,101.8,4.9,92.8,0,,0.04,0,0,0,0,109.2,0.23,11.57,0,,0.04,0,0,0,0,107.8,0.26,13.69,0,,0.04,0,0,0,0,107.8,0.26,13.69,0,,0.04,,0,,,100.8,,,0,0.1,0.04,-100,0,-0.1,-0.1,100.7,,,0,0.1,0.04,0,0,0,0,100.7,,,0,0.1,0.04,0,0,0,0,100.7,,,0,0.1,0.04,0,0,0,0,100.7,,,0,0.1,0.04,0,0,0,0,100.7,,,0,No,,
Ganga Electrocast Ltd.,317.3,0.1,0.09,0,,,206.6,0.06,0.92,0.19,487.6,0.08,0.34,0,4.1,-6.89,372.4,0.36,0.97,0.27,703.3,0.1,9.59,0,95.41,81.47,567.4,0.26,0.94,0.14,573.2,0.04,-1.13,-0.02,-6.31,-5.2,684.6,0.24,1.01,0.29,281.9,0.03,-1.38,0,-3.99,-3.05,762.3,0.27,1.05,0.32,7.6,0.09,3.09,0.03,0.94,-17.57,656.4,0.09,1.06,0.12,68.6,0.07,0.43,0,0.31,0.28,646.1,0.17,1.05,0.12,170.3,0.16,-0.06,0.01,-0.21,-0.19,271.7,0.22,1.09,0.08,,0.16,-19.61,0.02,-3.14,-2.97,244.2,0.2,1.07,0.03,,0.22,-29.55,0.01,-2.81,-2.72,250.7,0.2,1.06,0.03,,0.22,-29.55,0.01,-2.81,-2.72,250.7,0.2,1.06,0.03,No,,
Ganga Finance Ltd.,,0,-300,0.56,-48,-64,0.9,,,0,,0,-300,0.56,-48,-64,0.9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganga Fiscal Services Ltd.,20.1,0.04,2.9,0,2.05,1.45,43.1,1.04,1.07,0.36,20.1,0.04,2.9,0,2.05,1.45,43.1,1.04,1.07,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganga General Finance Ltd.,,0,0,0,,,0.1,0,0,,,0,0,0,,,0.1,0,0,,,0,0,0,,,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganga Nagar Commodity Ltd.,,0.06,24,0,31.79,8.44,337.9,0.7,0.71,3.23,,0.15,20.76,0,33.73,11.55,304,0.24,0.24,0.98,8.3,0.09,-189.35,0,,-484.16,232.7,0.09,0.09,,8.3,0.09,-189.35,0,,-484.16,232.7,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganga Steel & Alloys Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganges Investments Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganges Rope Co. Ltd.,1.1,0.37,77.78,0,80.21,48.03,78.6,0.13,0.14,0.44,1.1,0.37,77.78,0,80.21,48.03,78.6,0.13,0.14,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganges Securities Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-4,-133.33,-133.33,0.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Sale of Assets,Mar-15
Ganges Vally Foods Pvt. Ltd.,136,0.28,-0.73,0,-2.57,-3.26,68,0.89,1.03,0.19,155.2,0.24,1.28,0.07,5.08,3.14,68,0.69,0.78,0.23,161.2,0.23,0.93,0.36,3.65,3.28,76.2,0.39,0.49,0,168.6,0.23,1.42,0.01,5.57,7.66,80,0.39,0.49,0,209.6,0.26,0.48,0.15,2.35,2.12,85.5,0.9,1.01,0,191.8,0.18,0.36,-0.02,1.66,2.13,86,1.16,1.26,0,184.6,0.15,1.4,0.11,5.78,6,86.1,1.36,1.46,0,181.5,0.42,0.49,-0.06,1.91,1.91,91.2,0.56,0.66,0,156.5,0.19,-3.87,0,-6.49,-6.49,182.6,2.51,2.62,0,0.7,0.32,-2742.31,-2.22,-193.66,-197.46,93.6,3.71,4.05,0,9.8,0.32,10.32,-0.02,1.6,-0.49,84.2,20.39,20.39,0,No,,
Gangetic Developers Pvt. Ltd.,,0,0,0,0,0,479,0.69,0.69,0.01,,0,0,0,0,0,479.5,0.58,0.58,0.01,,0,,0,-0.28,-0.27,479.1,0.47,0.47,0.02,,0.11,,0.03,-19.3,-0.19,445.3,0.03,0.03,0,,0,,0.19,-15.53,-0.82,425.5,0,0,0,,0.01,-9100,-0.01,-2.84,-0.44,315.7,44,44,0,,0.01,,0,-0.06,-0.06,315.3,,,0,,0.01,,0,-0.13,-0.13,315.3,13,13,0,,0,-116.67,0.01,-0.22,-0.13,315,5.14,5.14,0,,0,-100,0,-0.06,-0.06,314.2,29,29,0,,0,-100,0,-0.06,-0.06,314.2,29,29,0,No,,
Gangour Investments Ltd.,,0.43,0,0,0,0,56.7,0.28,1.21,0.11,,0.41,0,0,0,0,58.4,0.35,0.48,0.23,,0.4,0,0,0,0,59.7,0.26,0.36,0.2,,0.42,1.65,0,0.43,0.55,70.5,0.63,0.92,0.18,,0.56,2.82,0,0.99,-9.77,88.2,0.13,0.56,0.55,,0.67,0.64,0,0.2,0.56,71.8,0.12,0.33,0.3,,0.75,8.79,0,3.13,1.79,76.3,0.06,0.21,0.33,,0.75,1.09,0,0.39,0.56,82.3,0.27,0.34,0.42,,0.1,4.42,0,1.53,1.27,93.9,0.19,0.27,0.6,,0.1,11.37,0,4.45,3.76,101.2,0.27,0.36,0.56,,0.1,11.37,0,4.45,3.76,101.2,0.27,0.36,0.56,No,,
Ganika City Homes Lakhmpur Pvt. Ltd.,,0,0,0,0,0,2.7,0.04,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganipitak Yakshraj Caplease Ltd.,,0.97,48.48,0.03,6.02,5.64,28.5,0.82,25.91,0,,0.99,42.86,-0.02,4.29,4.29,29.6,0.7,29.6,0,,0.99,42.86,-0.02,4.29,4.29,29.6,0.7,29.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Gannon Dunkerley Finance Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganodaya Finlease Ltd.,,0.05,31.03,-0.05,1.14,1.14,161.6,63.13,66.38,0,,0.06,42.11,-0.03,1.99,1.99,165.6,48.59,51.06,0,,0.12,48.62,-0.08,3.21,3.21,172.8,32.26,36.13,0,,0.07,60,0.03,6.07,4.21,184.9,26.26,27.56,0,,0.07,-40,-0.01,-1.02,-1.01,183.1,26.38,27.52,0,,0.02,32.18,0.07,1.58,1.41,179.9,346,355.8,0,,0.04,70.95,0.17,7.99,7.94,195.1,231.5,237.63,0,,0.04,24.18,-0.04,1.13,1.13,197.3,267.14,274.14,0,,0.03,43.43,-0.03,1.87,1.86,290,267.2,274.2,0,,0.06,-2500,-0.05,-3.85,-3.8,264.9,219.09,228.36,0,,0.06,-2500,-0.05,-3.85,-3.8,264.9,219.09,228.36,0,No,,
Ganpati Finance Ltd.,,0.04,0,0,0,0,2.8,,,0,,0.04,0,0,0,0,2.7,,,0,,0.04,0,0,0,0,2.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Ganpati Handtex Pvt. Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.01,0,0,,,83.3,0.6,1,,,0.01,0,0,,0,83.7,0.5,1,,,0.01,0,0,,0,83.7,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Garbi Finvest Ltd.,,0.31,0,-0.06,0,0,165.4,0.27,0.27,0,,0.22,0,0.33,0,0,125,0.59,0.65,0.1,,0.31,0,-0.05,0,0,114.2,10.5,108,0,,0.1,16.67,-0.02,0.06,0.06,581.2,0.24,6.04,0.01,,0.19,8.57,-0.11,0.05,0.05,574.8,97.67,266.67,0,,0.13,16.39,0.05,0.17,0.17,577.1,1.11,12.28,0,,0.14,10.53,0.01,0.1,0.1,587.1,0.18,1.58,0,,0.33,46.67,-0.3,1.21,1.21,596.5,5.77,14.27,0,,0.49,32.91,-0.03,1.75,1.75,611.5,0.68,0.81,0,,0.49,32.91,-0.03,1.75,1.75,611.5,0.68,0.81,0,,,,,,,,,,,No,,
Garden City Residences Finance Ltd.,,0.81,,0,-0.42,-0.42,49.7,4.38,4.43,0,,0.87,,0,-0.21,-0.21,49.6,3,3,0,,0.87,,0,-0.21,-0.21,49.5,2.95,2.95,0,,0.87,,0,-0.21,-0.21,49.3,2.86,2.86,0,,0.88,,0,-0.42,-0.42,49.1,2.76,2.76,0,,0.88,,0,-0.21,-0.21,49,2.71,2.71,0,,0.88,,0,-0.43,-0.43,48.9,2.55,2.55,0,0.3,0.88,0,0,0,0,48.9,2.57,2.57,0,,0.89,,0,-0.64,-0.64,48.5,2.6,2.6,0,,0.89,-50,0,-0.22,-0.22,48.5,2.48,2.48,0,,0.89,-50,0,-0.22,-0.22,48.5,2.48,2.48,0,No,,
Garden Finance Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Garg Capital Services Ltd.,0.3,0.62,18.18,0,1.55,1.42,14.9,0.32,2.68,0.15,0.3,0.74,10.53,0,1.53,1.06,22.9,0.01,2,0.75,0.3,0.79,0,0,0,0,23.8,0.05,1.68,0.8,0.3,0.72,0,0,0,0,16.6,0.24,4.53,0.25,0.3,0.73,0,-0.07,0,0,19.6,0.14,2.55,0,0.3,0.57,0,-0.05,0,0,20.4,0.08,2.17,0,,0.61,7.14,-0.03,0.75,0.75,22.3,0.08,1.78,0,,0.51,0,-0.03,0,0,17.2,0.13,3.16,0,0.1,0.53,0,-0.04,0,0,15.9,0.08,4.44,0,0.1,0.49,0,-0.03,0,0,13.4,,,0,0.1,0.49,0,-0.03,0,0,13.4,,,0,No,,
Garg Pipes Pvt. Ltd.,,0.62,0,0,0,0,31.2,0.82,17.91,0,,0.52,0,0,0,0,30.1,,,0,,0.52,0,0,0,0,30.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Garhwal Logistics Ltd.,0.1,0.63,0,0,0,0,3.2,,,4.33,,0,0,0,0,0,0.6,,,0,,0,0,0,0,0,0.6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Garnet International Ltd.,,0.36,66.62,-0.17,24.56,20.54,307,0.74,1.47,0.33,,0.32,4.44,0.07,2.94,2.42,283.4,0.06,1.03,0.09,13.3,0.61,5,-0.48,0.22,0.21,441.4,0.09,2.3,0.03,,0.11,9.37,0.51,0.07,0.09,436.9,0.19,2.45,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Acquisition of Shares,Feb-13
Garodia Securities Ltd.,,0.12,0,0,0,0,377.5,7.99,41.14,0.02,,0.15,0,0,0,0,379.8,7.28,43.86,0.02,,0.16,0,0,0,0,378.6,8.48,50.92,0.02,,0.17,0,0.03,0,0,372,83.13,456.38,0,,0.29,4.88,-0.03,0.05,0.05,371.6,104.5,1824,0,,0.3,2.67,-0.01,0.05,0.05,371.8,102.5,1834,0,,0.32,2.74,-0.02,0.05,0.05,372.4,39.17,609.67,0,,0.39,2.22,-0.02,0.05,0.05,372.9,8.78,405,0,,0.41,1.96,-0.03,0.05,0.05,373.8,13.25,227.56,0,,0.43,3.92,-0.03,0.11,0.11,374.5,8.72,204.17,0,,0.43,3.92,-0.03,0.11,0.11,374.5,8.72,204.17,0,No,,
Garuda Cotex Shades Ltd.,,0.06,-1183.33,0.01,,-4.01,118.7,0.11,0.12,,0.5,0.01,48.75,-0.03,,,114.1,0.1,0.14,2.59,,0.02,-135.29,0.02,-16.55,-7.4,113.2,0.01,0.04,3.23,,0.01,-540,0.02,-23.68,-5.75,112.5,0,0.03,4.36,-0.4,0.01,3133.33,0,-61.04,-8.85,109.8,0.03,0.03,8.79,,0.01,-4800,-0.1,-162.71,-1.61,98.9,0.01,0.01,84.45,,0,,-0.33,,-7.82,75.3,2.43,2.43,,,0,,-5.06,,-2.26,4.8,48,48,,,0.93,0,0.05,,0,4.4,,,,,1,,-0.12,,-11.76,4.1,,,,,1,,-0.12,,-11.76,4.1,,,,No,,
Garuda Finance Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
Garware Capital Markets Ltd.,,0.06,78.02,0,16.86,16.86,260.5,12.35,22.6,0,,0.01,79.91,0,6.75,6.95,257,30.65,55.9,0,0.6,0.02,14.67,0,1.29,1.29,258.6,39.07,125.43,0,0.3,0.02,71.95,0,4.48,4.48,271.9,23.28,64.79,0,0.1,0.03,69.78,0.04,4.61,4.61,285.9,18.81,48.05,0,0.1,0.03,79.38,-0.12,5.32,5.25,303.2,7.02,36.42,0,11.5,0.11,78.14,-0.14,7.86,7.86,333.3,11.16,32.03,0,11.5,0.03,79.09,0.26,9.31,9.31,368.3,7.41,22.43,0,11.7,0.04,31.88,0.22,8.31,8.31,403.5,7.46,15.24,0,13.3,0.04,78.3,0.32,23.36,21.49,536,11.18,16.91,0.16,13.3,0.04,78.3,0.32,23.36,21.49,536,11.18,16.91,0.16,No,,
Garware Environmental Services Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,70,-0.05,,,13,6.33,6.33,0,,0.1,30,-0.07,2.45,4.9,13.4,5.4,5.4,0,,0.01,66.67,-0.01,4.74,4.74,13,130,130,0,,0.03,75,-0.02,4.53,4.53,13.8,69,69,0,,0.03,63.64,-0.01,5.04,5.04,14.7,23,23,0,,0.01,55.56,-0.03,3.46,3.46,15,15.33,15.33,0,,0.01,63.64,-0.01,4.65,4.65,15.9,15.33,15.33,0,No,,
