Company,year,Current ratio (times),Debt to Asset ratio,Debt to equity ratio (times),Equity turnover,Free Cash Flow Return,Interest Coverage Ratio,Invested Capital Turnover,Net profit margin,Pre Tax Margin,Quick ratio (times),Return on capital employed,Return on equity,Return on sales,Return on total assets,Sales Growth Over Past Year,Acquired,Log_assets,Log_sales
C E S Ltd.,2003,0.25,0.0,0.0,0.03,-0.07,,0.03,-93.175,-1440.0,0.25,-17.560000000000002,-17.560000000000002,30.77,-16.125000000000004,-76.47,0,2.4423470353692043,0.4054651081081644
C E S Ltd.,2004,2.75,0.0,0.0,0.19,-0.11,,0.19,-215.38,-215.38,2.75,-41.18,-41.18,61.54,-37.84,225.0,0,1.824549292051046,0.26236426446749106
C E S Ltd.,2005,5.25,0.0,0.0,0.97,-0.55,,0.97,19.64,14.29,5.25,18.97,18.97,25.0,17.19,330.77,0,1.8870696490323797,1.7227665977411035
C E S Ltd.,2006,1.36,0.0,0.0,1.23,0.08,,1.23,12.05,12.05,1.36,14.81,14.81,13.25,13.07,48.21,0,2.163323025660538,2.1162555148025524
C E S Ltd.,2007,0.19,0.0,0.0,4.49,0.04,,4.49,6.51,7.81,0.19,29.24,29.24,9.9,17.86,362.65,0,2.9601050959108397,3.648057459593681
C E S Ltd.,2008,0.4,0.0,0.0,4.78,0.21,,4.78,6.04,7.33,0.4,28.95,28.95,12.29,14.07,41.93,0,3.3178157727231046,3.9982007016691985
C E S Ltd.,2009,0.47,0.0,0.0,4.6,-0.05,,4.6,6.41,8.4,0.47,29.51,29.51,9.83,12.88,28.81,0,3.744787086052232,4.251348311031766
C E S Ltd.,2010,1.37,0.09,0.11,1.72,0.03,238.0,1.57,15.66,18.81,1.28,24.72,27.14,23.03,18.84,78.77,0,5.123368564083496,4.832305758571839
C E S Ltd.,2011,2.23,0.0,0.0,1.01,-0.02,8.45,0.97,16.09,19.84,2.23,15.6,16.28,25.67,12.26,31.31,0,5.5842479059610115,5.1047326174753715
C E S Ltd.,2012,3.67,0.0,0.0,1.25,0.11,67.12,1.25,15.94,19.04,3.67,20.09,20.09,20.92,15.9,67.35,0,5.672979565501156,5.619675965359201
C E S Ltd.,2013,3.19,0.0,0.0,1.23,0.2,67.38,1.23,16.61,25.55,3.19,20.67,20.72,26.6,16.97,20.78,0,5.914313487919567,5.808442745199634
C E S Ltd.,2014,3.23,0.11,0.16,1.02,0.1,687.0,0.93,14.1,20.89,3.23,13.27,14.42,25.94,10.83,-2.1,0,6.183117431330821,5.787204082795274
C E S Ltd.,2015,1.92,0.09,0.13,1.29,0.11,1213.0,1.13,17.75,24.12,1.87,20.13,22.97,30.08,16.52,53.54,0,6.3875524934035495,6.216007119335899
C E S Ltd.,2016,1.62,0.15,0.23,1.39,0.13,15.46,1.18,15.59,22.7,1.59,18.47,21.86,27.55,14.88,34.03,0,6.710644904714743,6.508918157164194
C E S Ltd.,2017,1.34,0.22,0.36,1.34,0.12,12.6,1.03,6.65,9.62,1.16,6.88,8.93,15.29,5.54,10.89,0,6.876161407390958,6.612309815912522
C E S Ltd.,2018,1.08,0.01,0.02,1.7,0.17,21.22,1.44,4.67,8.11,1.04,6.71,7.96,12.63,4.8,37.27,0,6.926969497905941,6.92912530471833
C E S Ltd.,2019,1.34,0.0,0.0,1.75,0.01,185.5,1.73,8.17,9.56,1.29,14.19,14.34,12.17,9.25,12.83,0,6.933325555093667,7.0498622956069665
C E S Ltd.,2020,1.5,0.0,0.0,1.82,0.09,694.0,1.82,2.18,5.25,1.5,4.06,4.06,5.26,2.64,11.84,0,7.050295965764247,7.161777149941283
C E S Ltd.,2021,1.5,0.0,0.0,1.82,0.09,694.0,1.82,2.18,5.25,1.5,4.06,4.06,5.26,2.64,11.84,0,7.050295965764247,7.161777149941283
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2009,1.3,0.0,0.01,2.54,0.32,306.79,2.53,8.43,11.99,1.3,21.43,21.55,15.01,11.98,53.17,0,8.052742118160147,8.181608560756278
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2010,1.15,0.0,0.0,2.89,0.0,371.07,2.88,6.77,9.97,1.15,19.67,19.75,14.37,9.4,39.13,0,8.314832179284556,8.511879096592468
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2011,1.15,0.0,0.0,2.89,0.0,371.07,2.88,6.77,9.97,1.15,19.67,19.75,14.37,9.4,39.13,0,8.314832179284556,8.511879096592468
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2012,0.8599999999999999,0.0,0.015,6.925000000000001,0.24,254.57999999999998,6.89,6.6,11.84,0.855,72.755,73.16499999999999,15.83,20.259999999999998,67.86,0,8.54605272009679,8.967720889994638
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2013,0.57,0.0,0.03,10.96,0.68,138.09,10.9,11.24,13.71,0.56,125.84,126.58,16.62,31.12,96.59,0,8.7478444889407,9.643647599312436
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2014,0.54,0.0,0.01,28.78,0.28,250.93,28.24,12.28,11.79,0.54,347.66,354.29,18.47,31.37,5.59,0,8.776768956245249,9.698054981765072
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2015,0.92,0.0,0.0,10.92,0.08,103.59,10.89,11.87,16.21,0.92,135.65,135.92,16.83,29.76,15.15,0,9.128110273707211,9.83914634526423
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2016,1.58,0.0,0.0,4.81,0.31,405.68,4.81,11.39,17.11,1.56,54.77,54.78,20.5,24.53,20.03,0,9.366275173596943,10.021723818801334
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2017,1.13,0.0,0.0,3.88,0.09,229.84,3.88,11.5,15.42,1.13,47.06,47.06,13.85,23.95,0.52,0,9.346696521216508,10.026872645106772
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2018,1.29,0.0,0.0,4.38,0.26,54.0,4.38,13.46,16.11,1.29,59.11,59.11,20.2,27.38,12.18,0,9.534768945394967,10.141767961390807
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2019,1.43,0.21,0.55,3.71,0.12,12.34,2.86,12.37,17.7,1.33,37.29,48.31,18.67,20.42,2.8,0,9.875082933968278,10.169407028205786
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2020,2.07,0.21,0.43,3.06,0.06,9.89,2.06,10.96,15.28,2.05,23.27,34.48,18.36,15.05,3.99,0,9.962411906186105,10.208557574589136
C G I Information Systems & Mgmt. Consultants Pvt. Ltd.,2021,2.07,0.21,0.43,3.06,0.06,9.89,2.06,10.96,15.28,2.05,23.27,34.48,18.36,15.05,3.99,0,9.962411906186105,10.208557574589136
C G-V A K Software & Exports Ltd.,2000,1.52,0.29,0.49,1.61,0.05,6.0,1.21,15.14,15.53,1.46,18.44,24.64,24.73,15.21,57.61,0,4.802380355275797,4.620058798481842
C G-V A K Software & Exports Ltd.,2001,1.54,0.21,0.32,1.33,0.17,3.56,0.95,11.08,10.79,1.54,10.67,14.95,21.34,9.53,-0.3,0,4.809742351716865,4.617098756853365
C G-V A K Software & Exports Ltd.,2002,2.22,0.21,0.3,0.73,0.0,2.81,0.56,5.77,5.11,2.22,3.22,4.22,20.46,2.92,-40.12,0,4.786658062033468,4.104294893075269
C G-V A K Software & Exports Ltd.,2003,1.56,0.16,0.22,0.6,0.09,1.0,0.47,0.0,0.0,1.56,0.0,0.0,18.61,0.0,-16.67,0,4.751864565138895,3.9219733362813143
C G-V A K Software & Exports Ltd.,2004,1.73,0.13,0.2,0.52,0.04,1.12,0.43,0.45,-0.22,1.73,0.2,0.24,24.77,0.17,-12.87,0,4.8307108619020225,3.784189633918261
C G-V A K Software & Exports Ltd.,2005,3.23,0.2,0.28,0.59,0.08,1.14,0.48,0.19,0.57,3.23,0.09,0.12,18.45,0.08,14.55,0,4.757891273005756,3.919991175077323
C G-V A K Software & Exports Ltd.,2006,3.87,0.22,0.31,0.63,0.06,1.38,0.48,1.08,1.25,3.87,0.54,0.7,10.22,0.51,6.75,0,4.774912960575186,3.9852734671677386
C G-V A K Software & Exports Ltd.,2007,1.89,0.23,0.33,0.73,0.09,1.575,0.55,-8.39,-7.42,1.89,-4.74,-6.24,10.74,-4.45,12.45,0,4.745801315727837,4.102643365036796
C G-V A K Software & Exports Ltd.,2008,2.8,0.18,0.25,0.89,0.16,1.77,0.69,2.52,2.77,2.8,1.9,2.45,5.95,1.73,19.5,0,4.752727750345706,4.280824129164719
C G-V A K Software & Exports Ltd.,2009,1.98,0.17,0.24,0.75,0.1,1.65,0.6,-10.66,-11.31,1.98,-6.67,-8.33,0.51,-5.91,-17.84,0,4.678420647727684,4.084294226368599
C G-V A K Software & Exports Ltd.,2010,1.44,0.16,0.23,0.83,0.02,1.53,0.67,1.58,1.43,1.3,1.16,1.44,5.21,1.03,6.57,0,4.671893818030999,4.147885329150131
C G-V A K Software & Exports Ltd.,2011,1.26,0.19,0.28,0.93,0.03,3.585,0.74,-18.4,-20.77,1.24,-13.96,-17.51,-0.45,-12.12,4.27,0,4.581901559048737,4.189654742026425
C G-V A K Software & Exports Ltd.,2012,1.94,0.07,0.09,1.27,0.15,5.64,1.07,11.47,11.36,1.94,12.73,15.07,23.71,10.32,31.67,0,4.624972813284271,4.464758032271346
C G-V A K Software & Exports Ltd.,2013,2.6,0.04,0.05,1.21,0.07,9.67,1.13,6.98,8.38,2.6,8.21,8.8,14.86,6.41,2.99,0,4.612145799724517,4.4942386252808095
C G-V A K Software & Exports Ltd.,2014,2.8,0.02,0.02,1.34,0.08,25.8,1.29,8.73,11.23,2.8,11.54,11.96,20.02,9.03,17.77,0,4.677490847567717,4.657762636107262
C G-V A K Software & Exports Ltd.,2015,3.62,0.01,0.01,1.19,0.14,30.5,1.18,7.88,11.38,3.59,9.49,9.63,17.23,7.55,-4.74,0,4.674696248636701,4.609162207257629
C G-V A K Software & Exports Ltd.,2016,4.47,0.0,0.0,1.32,0.11,57.0,1.31,3.33,4.78,4.47,4.39,4.41,13.68,3.59,15.74,0,4.699570861409576,4.755312844417811
C G-V A K Software & Exports Ltd.,2017,2.73,0.0,0.0,1.52,0.25,43.25666666666667,1.52,7.72,10.59,2.73,12.01,12.02,12.55,9.84,22.72,0,4.784988612563928,4.960043507980195
C G-V A K Software & Exports Ltd.,2018,2.8,0.06,0.08,1.79,0.13,29.513333333333332,1.72,16.91,23.28,2.8,29.34,30.63,26.52,25.07,42.78,0,5.061961921261596,5.316157284676367
C G-V A K Software & Exports Ltd.,2019,3.24,0.15,0.2,1.58,0.12,15.77,1.38,15.81,21.91,3.24,22.34,25.63,26.13,19.77,12.97,0,5.391352232515226,5.438079308923196
C G-V A K Software & Exports Ltd.,2020,5.21,0.09,0.11,1.53,0.26,34.48,1.33,22.15,30.05,5.21,30.07,34.63,33.08,26.91,29.35,0,5.637286483367837,5.695414224985685
C G-V A K Software & Exports Ltd.,2021,5.21,0.09,0.11,1.53,0.26,34.48,1.33,22.15,30.05,5.21,30.07,34.63,33.08,26.91,29.35,0,5.637286483367837,5.695414224985685
C M S Computers Ltd.,2000,1.21,0.34,1.01,9.04,,3.21,4.47,,3.48,0.93,,,,,-5.2,0,,
C M S Computers Ltd.,2001,1.25,0.41,1.33,8.06,,4.16,3.71,,4.61,0.93,,,,,3.3,0,,
C M S Computers Ltd.,2002,1.05,0.4,1.39,8.18,,5.52,3.46,,5.18,0.78,,,,,21.91,0,,
C M S Computers Ltd.,2003,1.07,0.38,1.57,8.48,,5.09,3.41,,4.34,0.94,,,,,24.9,0,,
C M S Computers Ltd.,2004,1.22,0.37,1.07,4.89,,4.37,2.22,,6.91,0.99,,,,,14.9,0,,
C M S Computers Ltd.,2005,1.21,0.32,0.95,4.51,0.07,3.46,2.25,2.62,4.86,1.08,5.99,12.01,9.75,4.11,41.93,0,8.034631032923107,8.417593826193484
C M S Computers Ltd.,2006,1.14,0.32,1.02,4.69,0.07,2.66,2.36,1.73,3.47,0.97,4.17,8.29,6.85,2.74,14.33,0,8.1959681236894,8.551497995108228
C M S Computers Ltd.,2007,1.04,0.36,1.39,4.39,0.04,1.2,1.99,0.09,0.7,0.96,0.18,0.41,5.91,0.12,-2.22,0,8.413697602367924,8.529022943169815
C M S Computers Ltd.,2008,1.54,0.26,0.62,2.7,0.01,1.7766666666666668,1.45,-6.43,-6.85,1.48,-9.55,-17.74,4.9,-6.21,0.13,0,8.740576713935054,8.53030683056162
C M S Computers Ltd.,2009,1.87,0.04,0.06,0.38,-0.01,2.3533333333333335,0.28,-14.7,-10.36,1.84,-4.52,-6.17,8.06,-3.23,-81.97,0,7.956231498156449,6.817173900750898
C M S Computers Ltd.,2010,2.74,0.02,0.02,0.38,-0.05,2.93,0.37,4.08,4.99,1.59,1.58,1.65,11.31,1.25,-11.44,0,7.911030720823693,6.695675300023907
C M S Computers Ltd.,2011,3.21,0.01,0.01,0.41,0.05,1.94,0.4,1.26,4.01,2.45,0.53,0.53,7.68,0.42,6.44,0,7.875841179283995,6.7580945044277305
C M S Computers Ltd.,2012,3.62,0.0,0.0,0.51,-0.01,8.45,0.51,8.65,15.1,2.81,4.54,4.58,22.85,3.73,24.11,0,7.830783264508957,6.974104659523671
C M S Computers Ltd.,2013,3.04,0.0,0.0,0.57,0.04,9.44,0.57,8.41,11.9,2.26,4.98,4.99,14.18,4.02,13.34,0,7.9108106907520295,7.099366882683184
C M S Computers Ltd.,2014,2.37,0.19,0.29,0.56,-0.04,108.62,0.48,37.65,41.76,2.05,27.56,32.2,13.33,23.21,20.82,0,8.424924381952824,7.28851777444993
C M S Computers Ltd.,2015,2.86,0.0,0.0,0.74,-0.02,12.77,0.64,8.08,10.79,2.3,5.64,6.52,8.16,4.62,40.85,0,8.113965578248266,7.631043616454069
C M S Computers Ltd.,2016,2.73,0.05,0.06,0.85,-0.03,1.46,0.83,5.335,0.75,2.66,3.8899999999999997,4.3999999999999995,7.09,3.115,4.57,0,8.170468578330674,7.642332269305222
C M S Computers Ltd.,2017,2.71,0.05,0.07,0.83,-0.04,2.96,0.77,2.59,4.33,2.4,2.14,2.28,6.02,1.61,-2.19,0,8.223949012422539,7.653494909661253
C M S Computers Ltd.,2018,2.83,0.06,0.09,0.95,-0.01,6.58,0.88,10.98,11.9,2.52,10.85,11.68,6.4,8.34,12.18,0,8.086994719887398,7.768406442985613
C M S Computers Ltd.,2019,3.02,0.07,0.09,1.03,-0.02,2.09,0.94,1.24,4.54,2.63,1.19,1.3,6.1,0.95,6.15,0,8.136459719527258,7.828117710226346
C M S Computers Ltd.,2020,3.02,0.01,0.02,1.08,0.11,7.51,1.02,8.61,10.15,2.76,9.1,9.59,14.7,7.03,11.88,0,8.222553638396958,7.940370205143094
C M S Computers Ltd.,2021,3.02,0.01,0.02,1.08,0.11,7.51,1.02,8.61,10.15,2.76,9.1,9.59,14.7,7.03,11.88,0,8.222553638396958,7.940370205143094
C T I L Ltd.,2000,9.66,0.02,0.02,1.08,-0.29,0.44,1.01,-3.58,-3.58,9.45,-3.89,-4.15,7.45,-3.4,72.35,0,4.633757642840004,4.355425952876702
C T I L Ltd.,2001,7.23,0.04,0.05,0.2,-0.18,0.694,0.2,-280.75,-286.96,6.88,-63.84,-65.75,-212.86,-59.75,-82.03,0,4.001863709427935,2.6390573296152584
C T I L Ltd.,2002,2.02,0.03,0.04,0.51,0.05,0.948,0.49,-100.48,-100.96,1.73,-55.63,-58.33,-73.37,-50.3,31.43,0,3.505557396986398,2.91235066461494
C T I L Ltd.,2003,5.67,0.05,0.08,1.13,0.28,1.202,1.07,-47.08,-47.5,5.61,-51.83,-54.72,-2.15,-42.09,26.63,0,3.139832617527748,3.1484533605716547
C T I L Ltd.,2004,2.2,0.0,0.0,0.26,-1.17,1.456,0.24,-439.29,-475.0,2.2,-125.51,-133.7,-204.17,-95.35,-89.7,0,1.2809338454620642,0.8754687373538999
C T I L Ltd.,2005,10.0,0.0,0.0,1.15,-0.27,1.71,1.15,5.71,2.86,10.0,6.56,6.56,28.57,5.8,45.83,0,1.1939224684724346,1.252762968495368
C T I L Ltd.,2006,1.17,0.0,0.0,1.33,-0.095,1.964,1.33,25.575,-104.17,1.17,64.53,66.07,38.44,48.925,-31.43,0,3.591817741270805,3.6176519448255684
C T I L Ltd.,2007,3.38,0.02,0.03,2.75,0.08,2.218,2.68,45.44,47.12,3.38,122.5,125.58,48.31,92.05,2858.33,0,4.238444906195857,4.2626798770413155
C T I L Ltd.,2008,2.35,0.0,0.0,0.79,-0.19,2.472,0.78,17.65,21.69,2.35,13.95,14.12,26.58,10.35,-24.23,0,4.90453376321371,3.9852734671677386
C T I L Ltd.,2009,1.99,0.02,0.03,0.94,-0.08,2.726,0.92,15.23,15.3,1.99,14.1,14.43,23.14,10.2,165.06,0,5.82452409235233,4.960043507980195
C T I L Ltd.,2010,1.83,0.19,0.34,0.79,-0.23,2.98,0.66,5.0,5.05,1.59,3.3,3.97,12.47,2.44,37.17,0,6.195629131824389,5.276071757600717
C T I L Ltd.,2011,2.2,0.16,0.25,0.48,0.0,1.32,0.38,2.51,2.58,1.84,0.95,1.22,15.87,0.75,-21.06,0,6.310281848490474,5.039546637590676
C T I L Ltd.,2012,2.95,0.17,0.23,0.35,-0.15,1.06,0.28,0.64,0.43,2.48,0.18,0.22,15.46,0.15,-9.07,0,6.4245448222491195,4.944495491591711
C T I L Ltd.,2013,2.89,0.17,0.23,0.15,-0.06,1.01,0.12,0.29,0.15,2.56,0.04,0.04,28.22,0.03,-51.28,0,6.450628387550081,4.225372824628505
C T I L Ltd.,2014,2.89,0.17,0.23,0.15,-0.06,1.01,0.12,0.29,0.15,2.56,0.04,0.04,28.22,0.03,-51.28,0,6.450628387550081,4.225372824628505
C T I L Ltd.,2015,2.89,0.17,0.23,0.15,-0.06,1.01,0.12,0.29,0.15,2.56,0.04,0.04,28.22,0.03,-51.28,0,6.450628387550081,4.225372824628505
C T I L Ltd.,2016,2.89,0.17,0.23,0.15,-0.06,1.01,0.12,0.29,0.15,2.56,0.04,0.04,28.22,0.03,-51.28,0,6.450628387550081,4.225372824628505
C T I L Ltd.,2017,2.89,0.17,0.23,0.15,-0.06,1.01,0.12,0.29,0.15,2.56,0.04,0.04,28.22,0.03,-51.28,0,6.450628387550081,4.225372824628505
C T I L Ltd.,2018,2.89,0.17,0.23,0.15,-0.06,1.01,0.12,0.29,0.15,2.56,0.04,0.04,28.22,0.03,-51.28,0,6.450628387550081,4.225372824628505
C T I L Ltd.,2019,2.89,0.17,0.23,0.15,-0.06,1.01,0.12,0.29,0.15,2.56,0.04,0.04,28.22,0.03,-51.28,0,6.450628387550081,4.225372824628505
C T I L Ltd.,2020,2.89,0.17,0.23,0.15,-0.06,1.01,0.12,0.29,0.15,2.56,0.04,0.04,28.22,0.03,-51.28,0,6.450628387550081,4.225372824628505
C T I L Ltd.,2021,2.89,0.17,0.23,0.15,-0.06,1.01,0.12,0.29,0.15,2.56,0.04,0.04,28.22,0.03,-51.28,0,6.450628387550081,4.225372824628505
C-Edge Technologies Ltd.,2006,3.97,0.0,0.0,0.86,0.1,,0.86,8.65,14.32,3.97,7.49,7.49,20.17,5.72,0.0,0,4.952299717083292,4.534747721691546
C-Edge Technologies Ltd.,2007,3.34,0.0,0.0,1.05,-0.08,,1.05,3.78,4.7,3.34,4.08,4.08,7.24,3.02,24.57,0,5.050496827521386,4.754451888703846
C-Edge Technologies Ltd.,2008,4.35,0.0,0.0,0.92,-0.03,,0.92,1.19,1.19,4.35,1.15,1.15,1.25,0.87,-10.51,0,4.957937505095806,4.6434288981051814
C-Edge Technologies Ltd.,2009,1.88,0.0,0.0,2.07,-0.02,,2.07,13.67,21.94,1.88,28.5,28.5,24.36,19.15,167.47,0,5.551407994230199,5.627261336748458
C-Edge Technologies Ltd.,2010,1.92,0.04,0.06,3.09,0.26,,2.97,15.67,23.27,1.92,46.89,48.77,26.79,29.79,127.96,0,6.023447592961033,6.451259999761194
C-Edge Technologies Ltd.,2011,2.57,0.16,0.28,3.25,0.18,49.07,2.7,16.62,24.43,2.57,45.16,54.23,26.33,32.37,79.16,0,6.631342798788587,7.034387929915503
C-Edge Technologies Ltd.,2012,1.3,0.2,0.43,2.7,0.2,8.37,1.98,8.87,13.15,1.26,17.73,24.19,19.08,12.31,20.07,0,7.113223538616339,7.2172966857868115
C-Edge Technologies Ltd.,2013,1.45,0.15,0.3,2.86,0.08,9.82,2.11,8.78,13.29,1.42,18.64,25.26,20.78,12.16,36.18,0,7.2895422597357244,7.526071148919079
C-Edge Technologies Ltd.,2014,1.97,0.08,0.14,2.51,0.24,20.89,2.08,12.86,19.62,1.92,27.12,32.71,26.01,17.84,18.13,0,7.460317678728209,7.692660884781623
C-Edge Technologies Ltd.,2015,2.13,0.04,0.07,2.15,0.14,35.39,1.95,13.68,21.38,2.1,27.2,29.98,26.37,18.12,8.93,0,7.571834037044735,7.778169597588765
C-Edge Technologies Ltd.,2016,2.49,0.01,0.02,2.01,0.37,69.82,1.93,12.34,20.14,2.34,24.21,25.29,25.51,15.73,6.2,0,7.6531627862031675,7.8383433155571165
C-Edge Technologies Ltd.,2017,2.77,0.01,0.01,1.74,0.18,180.49,1.71,20.75,31.91,2.49,36.44,36.94,33.0,24.66,1.59,0,7.757863472395844,7.854148354672736
C-Edge Technologies Ltd.,2018,2.81,0.0,0.01,1.5,0.22,1648.0,1.49,22.73,35.27,2.19,34.68,34.91,38.45,24.64,6.22,0,7.947855296582579,7.9144715529457095
C-Edge Technologies Ltd.,2019,3.48,0.01,0.01,1.32,0.19,129.17,1.31,24.12,34.87,2.56,32.59,32.82,37.74,23.62,7.48,0,8.11665592154437,7.986572940322067
C-Edge Technologies Ltd.,2020,3.01,0.03,0.04,1.16,0.25,241.45,1.13,22.95,31.11,3.0,26.64,27.33,35.6,19.79,3.04,0,8.259691087465589,8.016515898702062
C-Edge Technologies Ltd.,2021,3.01,0.03,0.04,1.16,0.25,241.45,1.13,22.95,31.11,3.0,26.64,27.33,35.6,19.79,3.04,0,8.259691087465589,8.016515898702062
Cadsys (India) Ltd.,2005,7.5,0.0,0.0,0.63,,,0.63,,21.66,7.5,,,,,1.23,0,,
Cadsys (India) Ltd.,2006,8.5,0.0,0.0,0.15,,,0.15,,-108.63,8.5,,,,,-76.9,0,,
Cadsys (India) Ltd.,2007,2.27,0.0,0.0,0.08,,,0.08,,-72.94,2.27,,,,,-53.29,0,,
Cadsys (India) Ltd.,2008,0.44,0.0,0.0,0.06,,,0.06,,10.17,0.44,,,,,-30.99,0,,
Cadsys (India) Ltd.,2009,0.81,0.1,0.13,0.56,,0.71,0.52,,0.19,0.81,,,,,875.51,0,,
Cadsys (India) Ltd.,2010,1.46,0.15,0.19,0.72,,3.2,0.62,,3.03,1.46,,,,,34.31,0,,
Cadsys (India) Ltd.,2011,1.98,0.02,0.03,0.74,,7.38,0.67,,7.37,1.94,,,,,7.32,0,,
Cadsys (India) Ltd.,2012,1.38,0.27,0.48,1.65,,16.56,1.35,,17.29,1.36,,,,,105.52,0,,
Cadsys (India) Ltd.,2013,2.04,0.15,0.26,2.28,,13.71,1.68,,20.97,2.02,,,,,36.51,0,,
Cadsys (India) Ltd.,2014,2.5,0.23,0.41,1.98,0.13,12.62,1.47,19.44,30.24,2.49,29.58,39.91,36.42,22.56,15.62,0,5.44198471636045,5.409411414053624
Cadsys (India) Ltd.,2015,2.64,0.22,0.33,1.85,0.18,9.47,1.36,16.06,25.93,2.63,23.05,31.43,29.13,19.37,30.56,0,5.63906615993651,5.676068636088686
Cadsys (India) Ltd.,2016,3.04,0.32,0.64,1.38,0.0,4.04,0.92,9.5,13.91,2.79,9.1,13.59,31.39,7.66,-6.44,0,6.044056997227153,5.60947179518496
Cadsys (India) Ltd.,2017,3.71,0.03,0.03,1.09,0.09,3.83,0.87,10.45,14.74,3.7,9.31,11.64,21.77,8.17,17.29,0,6.03524216945387,5.768945800562614
Cadsys (India) Ltd.,2018,3.47,0.02,0.03,0.53,0.16,16.8,0.52,13.21,18.11,3.47,7.09,7.31,23.75,6.6,-35.57,0,6.08541015995051,5.329331420077207
Cadsys (India) Ltd.,2019,5.01,0.02,0.02,0.4,-0.14,5.08,0.39,3.85,16.13,4.96,1.58,1.62,13.98,1.48,-21.96,0,6.084954890195321,5.081404364984463
Cadsys (India) Ltd.,2020,6.2,0.1,0.12,0.27,0.1,2.35,0.25,1.88,3.39,6.2,0.48,0.52,7.97,0.46,-32.24,0,6.176282984100524,4.692264892839025
Cadsys (India) Ltd.,2021,6.2,0.1,0.12,0.27,0.1,2.35,0.25,1.88,3.39,6.2,0.48,0.52,7.97,0.46,-32.24,0,6.176282984100524,4.692264892839025
Cameo Corporate Services Ltd.,2003,1.1,0.12,0.33,0.0,,7.44,0.0,,9.52,1.1,,,,,,0,,
Cameo Corporate Services Ltd.,2004,1.03,0.46,2.17,4.67,,3.64,2.04,,5.55,1.03,,,,,,0,,
Cameo Corporate Services Ltd.,2005,0.7,0.44,2.65,5.54,,1.81,1.63,,5.56,0.7,,,,,18.62,0,,
Cameo Corporate Services Ltd.,2006,0.74,0.42,2.82,7.69,,2.29,2.06,,5.56,0.74,,,,,42.51,0,,
Cameo Corporate Services Ltd.,2007,0.89,0.57,4.73,9.68,,1.7,2.0,,4.27,0.89,,,,,44.75,0,,
Cameo Corporate Services Ltd.,2008,0.88,0.53,3.86,9.37,,2.96,1.81,,10.35,0.88,,,,,45.96,0,,
Cameo Corporate Services Ltd.,2009,1.05,0.53,3.92,11.94,,2.55,2.44,,5.94,1.05,,,,,101.4,0,,
Cameo Corporate Services Ltd.,2010,1.06,0.47,2.65,11.84,,4.16,2.89,,8.61,1.06,,,,,67.6,0,,
Cameo Corporate Services Ltd.,2011,1.02,0.49,1.99,7.21,,1.96,2.21,,3.96,1.02,,,,,-4.9,0,,
Cameo Corporate Services Ltd.,2012,0.74,0.46,1.75,5.78,0.21,1.24,2.01,0.59,1.43,0.74,1.19,3.4,10.17,0.86,-4.44,0,6.247849432201994,6.639614361737191
Cameo Corporate Services Ltd.,2013,0.66,0.4,1.32,4.85,0.17,1.39,1.91,0.97,1.74,0.65,1.85,4.7,10.67,1.32,-13.64,0,6.116333529153851,6.49299712396238
Cameo Corporate Services Ltd.,2014,0.63,0.37,1.16,5.05,0.07,1.75,2.25,2.65,2.65,0.63,5.99,13.44,9.65,4.16,3.59,0,6.046899253996083,6.528250272543504
Cameo Corporate Services Ltd.,2015,0.75,0.4,1.19,5.3,0.01,1.93,2.43,1.81,2.97,0.66,4.43,9.64,8.58,3.16,7.63,0,6.053499938027435,6.601773449358923
Cameo Corporate Services Ltd.,2016,0.8,0.38,0.95,4.74,0.16,1.56,2.29,1.11,1.43,0.69,2.57,5.32,6.38,1.96,-5.54,0,5.917010361183034,6.544774782480128
Cameo Corporate Services Ltd.,2017,0.96,0.35,0.8,3.31,0.09,1.04,1.76,0.19,-2.52,0.88,0.33,0.63,7.46,0.26,-31.97,0,5.733341276897746,6.159518132104232
Cameo Corporate Services Ltd.,2018,1.1,0.29,0.62,3.26,0.05,2.95,1.91,3.44,4.36,0.88,6.57,11.21,11.01,5.08,-1.69,0,5.7698822763607245,6.142467420644509
Cameo Corporate Services Ltd.,2019,1.08,0.31,0.65,3.64,0.12,0.52,2.23,-1.14,1.14,1.01,-2.56,-4.18,6.71,-1.97,16.04,0,5.729125282327996,6.291198700583904
Cameo Corporate Services Ltd.,2020,1.15,0.25,0.51,3.17,0.2,3.81,2.01,3.71,5.6,1.01,7.49,11.8,10.41,5.73,-9.45,0,5.790265934544339,6.191953407857386
Cameo Corporate Services Ltd.,2021,1.15,0.25,0.51,3.17,0.2,3.81,2.01,3.71,5.6,1.01,7.49,11.8,10.41,5.73,-9.45,0,5.790265934544339,6.191953407857386
